id,employeeId,roleId,from,to,companyId
280,329,100,2024-04-30 16:36:43,,39
292,341,101,2024-05-06 14:44:30,,39
293,342,101,2024-05-06 14:44:32,,39
294,343,101,2024-05-06 14:44:35,,39
295,344,101,2024-05-06 14:44:37,,39
296,345,101,2024-05-06 14:44:39,,39
297,346,101,2024-05-06 14:44:41,,39
298,347,101,2024-05-06 14:44:43,2024-05-14 18:14:13,39
299,348,101,2024-05-06 14:44:45,,39
300,349,101,2024-05-06 14:44:47,,39
301,350,101,2024-05-06 14:44:49,2024-05-14 18:14:25,39
302,351,101,2024-05-06 14:44:51,2024-05-14 18:14:02,39
316,357,101,2024-05-14 12:31:14,2024-05-14 18:14:01,39
317,358,101,2024-05-14 12:31:17,2024-05-15 10:38:57,39
322,357,100,2024-05-14 18:14:01,,39
323,351,100,2024-05-14 18:14:02,,39
324,347,113,2024-05-14 18:14:13,,39
325,350,115,2024-05-14 18:14:25,,39
326,358,100,2024-05-15 10:38:57,2024-05-15 10:40:05,39
327,358,113,2024-05-15 10:40:05,,39
328,361,101,2024-05-15 14:37:45,2024-05-15 14:43:11,39
329,362,101,2024-05-15 14:37:47,,39
330,361,113,2024-05-15 14:43:11,,39
331,363,101,2024-05-15 16:13:33,,39
